id,title,year,production_company,category,type,phase,poster
1,Toy Story,1995,Pixar,Movie,Animated,,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg
2,Brink!,1998,Disney Channel,Movie,Animated,,https://upload.wikimedia.org/wikipedia/en/7/74/Disney_-_Brink.jpg
3,A Bug’s Life,1998,Pixar,Movie,Animated,,https://m.media-amazon.com/images/M/MV5BNThmZGY4NzgtMTM4OC00NzNkLWEwNmEtMjdhMGY5YTc1NDE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
4,Toy Story 2,1999,Pixar,Movie,Animated,,https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg
5,"Monsters, Inc",2001,Pixar,Movie,Animated,,https://lumiere-a.akamaihd.net/v1/images/p_monstersinc_19751_55afa07a.jpeg
6,Finding Nemo,2003,Pixar,Movie,Animated,,https://m.media-amazon.com/images/M/MV5BYjZlNzkzNzctZTY0NS00YmZhLThjNWMtMTViYWNlM2IyMzZiXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_FMjpg_UX1000_.jpg
7,The Incredibles,2004,Pixar,Movie,Animated,,https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_.jpg
8,Cars,2006,Pixar,Movie,Animated,,https://cdn.shopify.com/s/files/1/1416/8662/products/cars_2006_french_grande_advance_original_film_art_f_1200x.jpg?v=1586352664
9,Ratatouille,2007,Pixar,Movie,Animated,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8523/8523261_sa.jpg;maxHeight=640;maxWidth=550
10,Wall-E,2008,Pixar,Movie,Animated,,https://lumiere-a.akamaihd.net/v1/images/p_walle_19753_69f7ff00.jpeg
