title,year,production_company,category,type,phase
Toy Story,1995,Pixar,Movie,Animated,
Brink!,1998,Disney Channel,Movie,Animated,
A Bug’s Life,1998,Pixar,Movie,Animated,
Toy Story 2,1999,Pixar,Movie,Animated,
"Monsters, Inc",2001,Pixar,Movie,Animated,
Finding Nemo,2003,Pixar,Movie,Animated,
The Incredibles,2004,Pixar,Movie,Animated,
Cars,2006,Pixar,Movie,Animated,
Ratatouille,2007,Pixar,Movie,Animated,
Wall-E,2008,Pixar,Movie,Animated,
Up,2009,Pixar,Movie,Animated,
Toy Story 3,2010,Pixar,Movie,Animated,
Cars 2,2011,Pixar,Movie,Animated,
Brave,2012,Pixar,Movie,Animated,
Monsters University,2013,Pixar,Movie,Animated,
The Good Dinosaur,2015,Pixar,Movie,Animated,
Inside Out,2015,Pixar,Movie,Animated,
Finding Dory,2016,Pixar,Movie,Animated,
Cars 3,2017,Pixar,Movie,Animated,
Coco,2017,Pixar,Movie,Animated,
Incredibles 2,2018,Pixar,Movie,Animated,
Toy Story 4,2019,Pixar,Movie,Animated,
Soul,2020,Pixar,Movie,Animated,
Onward,2020,Pixar,Movie,Animated,
Luca,2021,Pixar,Movie,Animated,
Snow White and the Seven Dwarfs,1937,Disney,Movie,Animated,
Fantasia,1940,Disney,Movie,Animated,
Pinocchio,1940,Disney,Movie,Animated,
The Reluctant Dragon,1941,Disney,Movie,Animated,
Dumbo,1941,Disney,Movie,Animated,
Bambi,1942,Disney,Movie,Animated,
Saludos Amigos,1943,Disney,Movie,Animated,
Victory Through Air Power,1943,Disney,Movie,Animated,
The Three Caballeros,1944,Disney,Movie,Animated,
Song of the South,1946,Disney,Movie,Animated,
Make Mine Music,1946,Disney,Movie,Animated,
Fun & Fancy Free,1947,Disney,Movie,Animated,
Melody Time,1948,Disney,Movie,Animated,
So Dear to My Heart,1948,Disney,Movie,Animated,
The Adventures of Ichabod and Mr. Toad,1949,Disney,Movie,Animated,
Cinderella,1950,Disney,Movie,Animated,
Alice in Wonderland,1951,Disney,Movie,Animated,
Peter Pan,1953,Disney,Movie,Animated,
Lady and the Tramp,1955,Disney,Movie,Animated,
Sleeping Beauty,1959,Disney,Movie,Animated,
101 Dalmatians (Animated),1961,Disney,Movie,Animated,
